timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659956067772,1634,GET All Activities,200,OK,Stress Test 1-2,text,true,,3109,212,2,2,https://bambamapp-appservice.azurewebsites.net/api/Activities,1634,0,1378
1659956067429,1977,GET All Activities,200,OK,Stress Test 1-1,text,true,,3109,212,2,2,https://bambamapp-appservice.azurewebsites.net/api/Activities,1977,0,1716
1659956069410,222,Create new Activity,200,OK,Stress Test 1-1,text,true,,262,320,2,2,https://bambamapp-appservice.azurewebsites.net/api/Activities,222,0,0
1659956069410,222,Create new Activity,200,OK,Stress Test 1-2,text,true,,262,320,2,2,https://bambamapp-appservice.azurewebsites.net/api/Activities,222,0,0
1659956069633,220,Update Activity,200,OK,Stress Test 1-1,text,true,,262,233,2,2,https://bambamapp-appservice.azurewebsites.net/api/Activities/1,220,0,0
1659956069633,225,Update Activity,200,OK,Stress Test 1-2,text,true,,262,233,2,2,https://bambamapp-appservice.azurewebsites.net/api/Activities/2,225,0,0
1659956069855,219,Delete Activity,200,OK,Stress Test 1-1,,true,,211,236,2,2,https://bambamapp-appservice.azurewebsites.net/api/Activities/1,219,0,0
1659956069860,222,Delete Activity,200,OK,Stress Test 1-2,,true,,211,236,1,1,https://bambamapp-appservice.azurewebsites.net/api/Activities/2,222,0,0
